id,codigo_producto,producto,precio,unidad_venta
1,1,Gasolina Premium,290.10,galones
2,2,Gasolina Regular,272.50,galones
3,3,Gasoil Optimo,242.10,galones
4,4,Gasoil Regular,224.80,galones
